  "arch": "1024-1024",
  "offline_ratio": 1.0,
average_return                      94.7514
average_return                      94.8288
average_return                      94.749
average_return                      94.8184
average_return                      94.7971
average_return                      94.8075
average_return                      94.7702
average_return                      94.8338
average_return                      94.8138
average_return                      94.8256
average_return                      94.8165
average_return                      94.8052
average_return                      94.7503
average_return                      94.839
average_return                      94.7011
average_return                      94.8491
average_return                      94.7906
average_return                      94.7095
average_return                      94.7841
average_return                      94.6436
average_return                      94.7177
average_return                      94.8155
average_return                      94.7666
average_return                      94.7827
average_return                      94.7877
average_return                      94.7094
average_return                      94.7828
average_return                      94.6556
average_return                      94.8153
average_return                      94.8676
average_return                      94.6921
average_return                      94.7764
average_return                      94.7537
average_return                      94.7119
average_return                      94.635
average_return                      94.8393
average_return                      94.7787
average_return                      94.8215
average_return                      94.8338
average_return                      94.77
average_return                      94.7455
average_return                      94.6625
average_return                      94.7674
average_return                      94.671
average_return                      94.672
average_return                      94.7628
average_return                      94.6062
average_return                      94.8375
average_return                      94.8783
average_return                      94.7892
average_return                      94.7648
average_return                      94.6933
average_return                      94.8356
average_return                      94.8006
average_return                      94.7626
average_return                      94.6301
average_return                      94.7357
average_return                      94.7221
average_return                      94.6694
average_return                      94.7187
average_return                      94.8053
average_return                      94.7822
average_return                      94.6872
average_return                      94.7543
average_return                      94.6332
average_return                      94.8049
average_return                      94.7011
average_return                      94.7596
average_return                      94.7067
average_return                      94.756
average_return                      94.8332
average_return                      94.6648
average_return                      94.6856
average_return                      94.7084
average_return                      94.8332
average_return                      94.7011
average_return                      94.7229
average_return                      94.6987
average_return                      94.6858
average_return                      94.7935
average_return                      94.63
average_return                      94.7556
average_return                      95.0804
average_return                      94.704
average_return                      94.8104
average_return                      94.6649
average_return                      94.7829
average_return                      94.7479
average_return                      94.9123
average_return                      94.7028
average_return                      94.7689
average_return                      94.9027
average_return                      94.7687
average_return                      94.8343
average_return                      94.8705
average_return                      95.0957
average_return                      94.7689
average_return                      94.7784
average_return                      94.7033
average_return                      94.6593
average_return                      94.7063
average_return                      94.7715
average_return                      94.7699
average_return                      94.6723
average_return                      94.8287
average_return                      94.8169
average_return                      94.8791
average_return                      94.7634
average_return                      94.8269
average_return                      94.7019
average_return                      94.8471
average_return                      94.8469
average_return                      94.8702
average_return                      94.7839
average_return                      94.7784
average_return                      94.827
average_return                      94.981
average_return                      94.7983
average_return                      94.6898
average_return                      94.8322
average_return                      94.7408
average_return                      94.8368
average_return                      94.8153
average_return                      94.7891
average_return                      94.888
average_return                      94.772
average_return                      94.7287
average_return                      94.8358
average_return                      94.8084
average_return                      94.8227
average_return                      94.8168
average_return                      94.871
average_return                      94.6351
average_return                      94.8489
average_return                      94.743
average_return                      94.8258
average_return                      94.7254
average_return                      94.8278
average_return                      94.8
average_return                      94.8791
average_return                      94.8326
average_return                      94.8402
average_return                      94.781
average_return                      94.7766
average_return                      94.8439
average_return                      94.6597
average_return                      94.8173
average_return                      94.8584
average_return                      94.8043
average_return                      94.8285
average_return                      94.6508
average_return                      94.898
average_return                      94.8181
average_return                      94.7787
average_return                      94.7807
average_return                      94.8626
average_return                      94.8217
average_return                      94.7445
average_return                      94.8349
average_return                      94.7421
average_return                      94.8552
average_return                      94.842
average_return                      94.9665
average_return                      94.8338
average_return                      94.6961
average_return                      94.726
average_return                      94.7701
average_return                      94.7692
average_return                      94.7348
average_return                      94.8634
average_return                      94.8918
average_return                      94.8175
average_return                      94.7799
average_return                      94.8939
average_return                      94.8042
average_return                      94.67
average_return                      94.7321
average_return                      94.7714
average_return                      94.8324
average_return                      94.8242
average_return                      94.7308
average_return                      94.774
average_return                      94.7959
average_return                      94.7928
average_return                      94.7763
average_return                      94.8291
average_return                      94.866
average_return                      94.8122
average_return                      94.7359
average_return                      94.8179
average_return                      94.507
average_return                      94.8294
average_return                      94.776
average_return                      94.83
average_return                      94.7254
average_return                      94.464
average_return                      94.7767
average_return                      95.1388
average_return                      94.7913
average_return                      94.7885
average_return                      94.7892
average_return                      94.7929
average_return                      94.9733
average_return                      94.755
average_return                      94.465
average_return                      94.8645
average_return                      94.7134
average_return                      94.7403
average_return                      94.806
average_return                      94.5911
average_return                      94.7969
average_return                      94.8308
average_return                      94.8725
average_return                      94.7605
average_return                      94.7672
average_return                      94.9263
average_return                      94.8682
average_return                      94.7445
average_return                      94.8546
average_return                      94.3855
average_return                      94.8457
average_return                      94.788
average_return                      94.8272
average_return                      94.7508
average_return                      94.853
average_return                      94.7642
average_return                      94.8378
average_return                      94.7779
average_return                      94.6635
average_return                      94.788
average_return                      94.4339
average_return                      94.8072
average_return                      94.8387
average_return                      94.4581
average_return                      94.836
average_return                      94.811
average_return                      94.4266
average_return                      94.7365
average_return                      94.8263
average_return                      94.8054
average_return                      94.7373
average_return                      94.8231
average_return                      94.8685
average_return                      94.7825
average_return                      94.7829
average_return                      94.8137
average_return                      94.7656
average_return                      94.7456
average_return                      94.7623
average_return                      94.8607
average_return                      94.7916
average_return                      94.7987
average_return                      94.8796
average_return                      94.841
average_return                      94.7851
average_return                      94.8618
average_return                      94.8741
average_return                      94.8672
average_return                      94.969
average_return                      94.8269
average_return                      94.8651
average_return                      94.8249
average_return                      94.7511
average_return                      94.7435
average_return                      94.8508
average_return                      94.7833
average_return                      94.7839
average_return                      94.8829
average_return                      94.9062
average_return                      94.8797
average_return                      94.7181
average_return                      94.7968
average_return                      94.8374
average_return                      94.8302
average_return                      94.7709
average_return                      94.7232
average_return                      94.842
average_return                      94.7597
average_return                      94.882
average_return                   94.8584
  "arch": "1024-1024",
  "offline_ratio": 1.0,
  "seed": 1,
average_return                    72.584
average_return                    69.9647
average_return                    61.3169
average_return                    58.5929
average_return                    76.0953
average_return                    61.8483
average_return                    81.0025
average_return                    63.8955
average_return                    60.5408
average_return                     83.8274
